allotrope,r,elements,G(r),type
alpha,2.285,BAg,0.05929132929138548,NNP
alpha,2.285,AgAg,0,NNP
alpha,2.295,BB,0,NNP
alpha,2.295,BAg,0.07304387892137305,NNP
alpha,2.295,AgAg,0,NNP
alpha,2.305,BB,0,NNP
alpha,2.305,BAg,0.08630251675872493,NNP
alpha,2.305,AgAg,0,NNP
alpha,2.315,BB,0,NNP
alpha,2.315,BAg,0.11984075699427421,NNP
alpha,2.315,AgAg,0,NNP
alpha,2.325,BB,0,NNP
alpha,2.325,BAg,0.1460355009636618,NNP
alpha,2.325,AgAg,0,NNP
alpha,2.335,BB,0,NNP
alpha,2.335,BAg,0.1703383211494266,NNP
alpha,2.335,AgAg,0,NNP
alpha,2.345,BB,0,NNP
alpha,2.345,BAg,0.2013199076233234,NNP
alpha,2.345,AgAg,0,NNP
alpha,2.355,BB,0,NNP
alpha,2.355,BAg,0.2343187220102603,NNP
alpha,2.355,AgAg,0,NNP
alpha,2.365,BB,0,NNP
alpha,2.365,BAg,0.27208752184393736,NNP
alpha,2.365,AgAg,0,NNP
alpha,2.375,BB,0,NNP
alpha,2.375,BAg,0.31048621373625446,NNP
alpha,2.375,AgAg,0,NNP
alpha,2.385,BB,0,NNP
alpha,2.385,BAg,0.36554585962566094,NNP
alpha,2.385,AgAg,0,NNP
alpha,2.395,BB,0,NNP
alpha,2.395,BAg,0.4012564127057263,NNP
alpha,2.395,AgAg,0,NNP
alpha,2.405,BB,0,NNP
alpha,2.405,BAg,0.4456697028100715,NNP
alpha,2.405,AgAg,0,NNP
alpha,2.415,BB,0,NNP
alpha,2.415,BAg,0.4906044379014086,NNP
alpha,2.415,AgAg,0,NNP
alpha,2.425,BB,0,NNP
alpha,2.425,BAg,0.5229975220125079,NNP
alpha,2.425,AgAg,0,NNP
